titulo,fecha_publicacion,url,autor,tema,pais,top5_palabras_articulo,longitud_palabras
"la minería de litio podría amenazar un recurso precioso, el agua: voces desde el territorio | opinión",Sin fecha,https://es.mongabay.com/2026/01/mineria-litio-amenaza-agua-argentina-opinion/,Latoya Abulu,Pueblos indígenas y territorio,Argentina,"comunidades, empresas, comunidad, territorio, nuestras",814
bolivia: un túnel en el parque aguaragüe enfrenta a paz con el pueblo guaraní por el acceso al agua,Sin fecha,https://es.mongabay.com/2026/01/bolivia-tunel-parque-aguarague-amenaza-pueblo-guarani-agua/,Emiliadelfino,Agua y contaminación,Argentina,"tunel, agua, aguarague, proyecto, construccion",1073
sin playas ni protección legal: la odisea de las tortugas marinas más grandes del mundo para anidar en ecuador,Sin fecha,https://es.mongabay.com/2026/01/sin-playas-proteccion-legal-odisea-tortuga-laud-anidar-ecuador/,Emiliadelfino,Agua y contaminación,Ecuador,"laud, huevos, tortugas, arena, especie",992
revivir al río colorado: utilizan abejas y agua para restaurar el delta que unía a estados unidos con méxico,Sin fecha,https://es.mongabay.com/2026/01/revivir-rio-colorado-abejas-agua-restaurar-delta-estados-unidos-mexico/,Emiliadelfino,Agua y contaminación,México,"rio, colorado, agua, abejas, chan",1423
crimen de berta cáceres: “los bancos han facilitado las condiciones estructurales de violencia sobre los territorios lencas” | entrevista,Sin fecha,https://es.mongabay.com/2026/01/berta-caceres-bancos-violencia-lencas-entrevista/,Emiliadelfino,Agua y contaminación,Honduras,"caceres, bancos, berta, caso, informacion",1264
"venezuela, trump y petróleo: los anuncios de ee.uu. profundizan la incertidumbre ambiental tras la captura de maduro",Sin fecha,https://es.mongabay.com/2026/01/venezuela-trump-petroleo-incertidumbre-ambiental-captura-maduro/,Antonio Paz Cardona,Agua y contaminación,Bolivia,"ambiental, petrolera, venezuela, pais, industria",1490
chile: demanda para vacunas hechas con el árbol de jabón dispara amenazas a esta especie | estudio,Sin fecha,https://es.mongabay.com/2026/01/chile-demanda-vacunas-arbol-jabon-dispara-amenazas/,Emiliadelfino,Deforestación y bosques,Chile,"quillay, arboles, saponinas, arbol, vacunas",839
finanzas ambientales: por cada dólar que el mundo invierte en proteger la naturaleza se gastan 30 dólares en destruirla,Sin fecha,https://es.mongabay.com/short-article/2026/01/finanzas-ambientales-proteger-naturaleza-destruccion/,Emiliadelfino,Agua y contaminación,México,"naturaleza, inversiones, informe, perjudican, ambiente",189
confinados y sin territorio: el estado boliviano empuja al pueblo indígena ese ejja de eyiyoquibo hacia la desaparición,Sin fecha,https://es.mongabay.com/2026/01/bolivia-pueblo-indigena-ese-ejja-eyiyoquibo-desaparicion/,Emiliadelfino,Agua y contaminación,Bolivia,"tierras, ejjas, eyiyoquibo, bolivia, inra",1821
"lo más leído | minería ilegal contamina ríos de colombia y venezuela, salida de ee. uu. de organismos internacionales y refugio clave para fauna en bolivia",Sin fecha,https://es.mongabay.com/2026/01/mineria-ilegal-contamina-rios-colombia-venezuela-salida-ee-uu-organismos-internacionales-refugio-fauna-bolivia/,Dalia,Agua y contaminación,Bolivia,"lee, andino, bolivia, investigacion, ambientales",493
"los impactos de la salmonicultura en chile que hoy preocupan a tierra del fuego, argentina | lecturas ambientales",Sin fecha,https://es.mongabay.com/2026/01/impactos-salmonicultura-chile-preocupan-tierra-del-fuego/,Dalia,Biodiversidad y fauna,Argentina,"chile, impactos, industria, lee, salmonera",189
incendios en chile: “vamos a requerir un acuerdo social amplio para poder prevenir que esto ocurra con esta magnitud” | entrevista,Sin fecha,https://es.mongabay.com/2026/01/incendios-en-chile-entrevista-acuerdo-social-alejandro-miranda/,Alexa,Deforestación y bosques,Argentina,"incendios, chile, forestales, anos, hacer",1412
entró en vigencia el tratado de altamar: el acuerdo histórico que busca proteger los océanos del planeta,Sin fecha,https://es.mongabay.com/2026/01/tratado-altamar-acuerdo-historico-conservacion-oceanos/,Dalia,Biodiversidad y fauna,Regional/LatAm,"tratado, altamar, oceanos, mar, conservacion",133
así se construyó un oasis para las tortugas marinas en las costas orientales de venezuela,Sin fecha,https://es.mongabay.com/2026/01/tortugas-marinas-costas-orientales-de-venezuela-conservacion-animales/,Dora Montero,Minería y extractivismo,Brasil,"tortugas, proyecto, marinas, macuro, anos",1369
¿por qué los incendios en chile se propagan más rápido y arden con mayor intensidad?,Sin fecha,https://es.mongabay.com/short-article/2026/01/incendios-chile-mayor-intensidad/,Carloshernandez,Deforestación y bosques,Chile,"incendios, chile, forestales, fuego, centro",256
los tiburones y una ventana al pasado: cómo era el pacífico este tropical antes de la pesca indiscriminada | estudio,Sin fecha,https://es.mongabay.com/2026/01/tiburones-pacifico-este-tropical-pesca-indiscriminada/,Emiliadelfino,Biodiversidad y fauna,Bolivia,"areas, tiburones, especies, protegidas, pesca",976
"bolivia: el cañón de pilaya, el sexto más profundo del mundo, da otra oportunidad al cóndor y al oso andino",Sin fecha,https://es.mongabay.com/2026/01/bolivia-canon-pilaya-conservacion-condor-oso-andino/,Emiliadelfino,Agua y contaminación,Argentina,"canon, pilaya, reserva, oso, comunidades",705
méxico: una investigación con drones revela cómo el turismo impacta en el tiburón ballena,Sin fecha,https://es.mongabay.com/2026/01/mexico-una-investigacion-con-drones-revela-como-el-turismo-impacta-en-el-tiburon-ballena/,Emiliadelfino,Biodiversidad y fauna,Colombia,"tiburones, ballena, turismo, turistas, embarcaciones",879
los efectos de trump en latinoamérica: retirar a ee. uu. de 66 organismos internacionales impacta en temas ambientales,Sin fecha,https://es.mongabay.com/2026/01/efectos-trump-latinoamerica-eeuu-temas-ambientales/,Emiliadelfino,Clima y energía,Argentina,"estados, unidos, organismos, trump, ambientales",1046
"bolivia: las protestas obligaron a que el presidente tumbe su megadecreto, pero buscará aprobar su agenda ambiental con leyes",Sin fecha,https://es.mongabay.com/2026/01/bolivia-las-protestas-obligaron-a-que-el-presidente-tumbe-su-megadecreto-pero-buscara-aprobar-su-agenda-ambiental-con-leyes/,Emiliadelfino,Pueblos indígenas y territorio,Bolivia,"decreto, indigenas, areas, protegidas, norma",958
mujeres indígenas y el camino a una transición energética justa | opinión,Sin fecha,https://es.mongabay.com/2026/01/mujeres-indigenas-y-el-camino-a-una-transicion-energetica-justa-opinion/,Latoya Abulu,Pueblos indígenas y territorio,Bolivia,"indigenas, mujeres, transicion, energetica, pueblos",1269
descubren cómo se recupera un bosque tropical en el chocó ecuatoriano tras la deforestación | estudio,Sin fecha,https://es.mongabay.com/2026/01/recuperacion-bosque-tropical-choco-ecuatoriano-deforestacion-estudio/,Emiliadelfino,Deforestación y bosques,Argentina,"bosques, animales, semillas, anos, especies",955
"entre la vida y el deshielo: «no podemos frenar el tiempo, pero sí amortiguar su impacto»",Sin fecha,https://es.mongabay.com/2026/01/colombia-glaciares-cambio-climatico-opinion/,Latoya Abulu,Pueblos indígenas y territorio,Colombia,"glaciares, nuestras, montanas, comunidades, valores",779
río santiago en perú: la destrucción que dejan mafias de oro y madera | podcast,Sin fecha,https://es.mongabay.com/podcast/2026/01/rio-santiago-en-peru-la-destruccion-que-dejan-mafias-de-oro-y-madera-podcast/,Richard Romero,Agua y contaminación,Perú,"equipo, mongabay, latam, siguio, dragas",57
"comienza el juicio oral por el asesinato del defensor indígena quinto inuma, a dos años de su muerte en perú",Sin fecha,https://es.mongabay.com/short-article/2026/01/juicio-oral-asesinato-defensor-indigena-quinto-inuma-peru/,Emiliadelfino,Pueblos indígenas y territorio,Perú,"inuma, lider, indigena, quinto, caso",247
"la crisis del agua ya es una bancarrota hídrica mundial: la onu alerta sobre pérdidas irreversibles en ríos, glaciares y humedales | estudio",Sin fecha,https://es.mongabay.com/2026/01/agua-crisis-bancarrota-hidrica-mundial-onu/,Emiliadelfino,Agua y contaminación,Bolivia,"agua, bancarrota, millones, mundo, informe",1280
impugnadas y anuladas: ¿qué está pasando con las sanciones emitidas por conapesca en méxico?,Sin fecha,https://es.mongabay.com/2026/01/impugnadas-sanciones-conapesca-mexico/,Michelle,Agua y contaminación,Argentina,"pesca, conapesca, personal, inspeccion, casos",992
chile enfrenta uno de sus peores incendios: 19 muertos y 20 mil evacuados,Sin fecha,https://es.mongabay.com/short-article/2026/01/chile-incendios-forestales-fallecidos/,Dalia,Deforestación y bosques,Argentina,"incendios, personas, graves, fuego, emergencia",258
pesca industrial seguirá prohibida en áreas protegidas del perú: corte suprema rechaza demanda de la snp,Sin fecha,https://es.mongabay.com/2026/01/pesca-industrial-seguira-prohibida-en-areas-protegidas-del-peru-corte-suprema-rechaza-demanda-de-la-snp/,Dalia,Biodiversidad y fauna,Perú,"nacional, pesca, industrial, paracas, areas",235
"grupos armados, minería ilegal y mercurio: la tragedia silenciosa en la frontera amazónica entre colombia y venezuela",Sin fecha,https://es.mongabay.com/2026/01/grupos-armados-mineria-ilegal-mercurio-frontera-colombia-venezuela/,Danielaquinterodiaz,Agua y contaminación,Brasil,"mercurio, guainia, rio, oro, inirida",2061
